"year","BA","DM","DO","DS","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO"
1981,0,157,39,107,0,20,26,0,0,0,8,11,0,16,0
1982,0,192,43,115,0,44,51,0,0,0,29,13,2,64,0
1983,0,199,67,109,0,17,48,0,0,0,23,16,0,50,0
1984,0,135,38,30,0,9,5,5,0,0,7,14,0,27,0
1985,0,210,74,36,0,21,1,3,0,0,8,17,0,31,0
1986,0,162,51,38,0,12,2,1,0,0,16,14,0,22,0
1987,0,161,76,40,0,54,2,0,0,0,48,18,0,67,0
1988,0,140,56,27,0,76,2,1,0,0,26,24,8,79,0
1989,2,119,46,15,0,65,7,2,0,0,13,22,22,137,0
1990,8,182,71,13,0,33,25,6,0,0,0,18,6,88,0
1991,15,150,49,11,0,28,27,0,0,0,0,37,0,111,1
1992,4,124,41,12,0,20,26,6,1,0,0,58,0,66,0
1993,0,109,18,13,0,9,35,0,0,0,0,45,0,46,0
1994,0,133,14,8,0,2,34,0,0,0,0,34,0,22,0
1995,0,184,31,0,5,10,68,2,1,2,5,108,0,36,0
1996,0,178,65,0,18,17,122,0,0,4,23,113,0,37,0
1997,0,196,88,6,92,24,65,3,0,9,95,111,1,55,0
1998,0,191,45,8,123,14,13,0,0,3,42,78,0,8,0
1999,0,137,36,6,109,5,0,0,0,0,19,70,0,15,0
2000,0,101,41,0,236,8,0,0,0,1,2,162,0,9,0
2001,0,140,41,0,246,21,16,0,2,0,3,135,0,10,0
2002,0,126,103,0,345,29,11,0,4,0,1,148,0,9,4
2003,0,123,90,1,396,52,25,0,10,0,1,175,0,22,4
2004,0,96,52,0,195,13,7,0,10,0,1,154,0,1,0
2005,0,68,70,0,252,18,5,0,26,0,3,227,0,9,1
2006,0,110,50,0,289,19,8,0,5,0,5,346,1,6,4
2007,22,105,101,0,631,49,34,0,0,19,39,364,0,58,1
2008,14,150,158,17,234,22,30,0,0,13,29,164,0,55,0
2009,9,93,83,13,131,9,12,0,0,1,1,109,0,9,0
2011,0,103,17,0,9,10,4,0,0,0,0,367,0,0,0
2012,0,195,21,0,60,43,21,0,0,0,0,493,0,6,2
2013,1,172,21,0,44,28,12,0,0,0,0,202,0,3,1
2014,12,199,54,0,91,76,7,1,0,0,1,416,0,20,7
2015,67,182,71,0,56,85,28,0,0,2,15,434,0,100,15
2016,10,198,65,6,22,28,10,0,0,4,12,200,1,35,3
2017,0,194,55,4,19,26,3,6,0,11,7,309,4,17,6
