"month","year","period","plot","species","n","treatment","sampled"
1,1978,7,1,"DM",2,"control",1
1,1978,7,1,"DS",1,"control",1
1,1978,7,2,"DM",9,"control",1
1,1978,7,2,"PE",1,"control",1
1,1978,7,2,"PF",1,"control",1
1,1978,7,4,"DS",2,"control",1
1,1978,7,5,"DM",1,"control",1
1,1978,7,5,"DS",2,"control",1
1,1978,7,6,"DM",1,"control",1
1,1978,7,8,"DS",2,"control",1
1,1978,7,9,"DM",2,"control",1
1,1978,7,9,"DO",1,"control",1
1,1978,7,9,"DS",2,"control",1
1,1978,7,9,"PF",1,"control",1
1,1978,7,11,"DM",3,"control",1
1,1978,7,11,"DS",2,"control",1
1,1978,7,12,"DM",2,"control",1
1,1978,7,13,"DM",2,"control",1
1,1978,7,13,"PF",1,"control",1
1,1978,7,14,"DM",2,"control",1
1,1978,7,14,"DS",1,"control",1
1,1978,7,17,"DM",3,"control",1
1,1978,7,17,"DS",2,"control",1
1,1978,7,18,"DM",7,"control",1
1,1978,7,18,"DS",1,"control",1
1,1978,7,20,"DM",2,"control",1
1,1978,7,20,"DS",1,"control",1
1,1979,19,2,"DM",2,"control",1
1,1979,19,2,"PE",1,"control",1
1,1979,19,4,"DM",3,"control",1
1,1979,19,4,"DS",1,"control",1
1,1979,19,6,"DM",8,"control",1
1,1979,19,6,"DS",1,"control",1
1,1979,19,8,"DS",1,"control",1
1,1979,19,9,"DM",2,"control",1
1,1979,19,11,"DM",3,"control",1
1,1979,19,11,"DO",1,"control",1
1,1979,19,12,"DM",1,"control",1
1,1979,19,13,"DM",1,"control",1
1,1979,19,14,"DM",1,"control",1
1,1979,19,14,"DS",1,"control",1
1,1979,19,17,"DM",2,"control",1
1,1979,19,18,"DM",9,"control",1
1,1979,19,18,"DS",2,"control",1
1,1979,19,22,"DM",3,"control",1
1,1980,30,1,"DM",2,"control",1
1,1980,30,2,"DM",2,"control",1
1,1980,30,2,"DO",1,"control",1
1,1980,30,4,"DM",4,"control",1
1,1980,30,4,"DS",2,"control",1
1,1980,30,4,"PF",1,"control",1
1,1980,30,6,"DM",1,"control",1
1,1980,30,8,"DM",1,"control",1
1,1980,30,8,"DO",3,"control",1
1,1980,30,8,"PF",1,"control",1
1,1980,30,9,"DM",1,"control",1
1,1980,30,9,"DS",2,"control",1
1,1980,30,11,"DM",8,"control",1
1,1980,30,11,"DS",1,"control",1
1,1980,30,11,"PF",1,"control",1
1,1980,30,12,"DM",2,"control",1
1,1980,30,12,"DS",1,"control",1
1,1980,30,13,"DM",1,"control",1
1,1980,30,14,"DM",2,"control",1
1,1980,30,14,"DS",1,"control",1
1,1980,30,17,"DM",2,"control",1
1,1980,30,17,"DO",1,"control",1
1,1980,30,17,"RM",1,"control",1
1,1980,30,18,"DM",2,"control",1
1,1980,30,18,"DO",2,"control",1
1,1980,30,18,"DS",1,"control",1
1,1980,30,20,"DS",1,"control",1
1,1980,30,22,"DM",1,"control",1
1,1980,30,22,"DS",1,"control",1
1,1980,30,24,"DM",2,"control",1
1,1980,30,24,"DS",1,"control",1
1,1981,42,1,"DO",1,"control",1
1,1981,42,1,"DS",2,"control",1
1,1981,42,2,"DM",2,"control",1
1,1981,42,2,"DO",1,"control",1
1,1981,42,2,"DS",1,"control",1
1,1981,42,4,"DM",1,"control",1
1,1981,42,6,"DS",1,"control",1
1,1981,42,6,"PF",1,"control",1
1,1981,42,8,"DO",2,"control",1
1,1981,42,8,"DS",2,"control",1
1,1981,42,9,"DM",1,"control",1
1,1981,42,9,"DO",2,"control",1
1,1981,42,9,"DS",1,"control",1
1,1981,42,11,"DM",2,"control",1
1,1981,42,11,"DS",1,"control",1
1,1981,42,11,"PP",1,"control",1
1,1981,42,12,"DM",4,"control",1
1,1981,42,12,"DS",1,"control",1
1,1981,42,12,"RM",1,"control",1
1,1981,42,13,"DM",1,"control",1
1,1981,42,13,"DS",1,"control",1
1,1981,42,14,"DM",3,"control",1
1,1981,42,17,"DM",1,"control",1
1,1981,42,17,"DO",1,"control",1
1,1981,42,17,"DS",2,"control",1
1,1981,42,18,"DM",1,"control",1
1,1981,42,18,"DS",1,"control",1
1,1981,42,20,"DM",1,"control",1
1,1981,42,20,"DS",1,"control",1
1,1981,42,20,"PE",1,"control",1
1,1981,42,22,"DS",2,"control",1
1,1981,43,11,"DM",3,"control",1
1,1981,43,11,"DS",1,"control",1
1,1981,43,11,"PP",1,"control",1
1,1981,43,12,"DM",5,"control",1
1,1981,43,12,"DS",1,"control",1
1,1981,43,12,"RM",1,"control",1
1,1981,43,13,"DM",1,"control",1
1,1981,43,13,"DO",1,"control",1
1,1981,43,13,"DS",2,"control",1
1,1981,43,17,"DO",1,"control",1
1,1981,43,17,"DS",3,"control",1
1,1981,43,18,"DM",2,"control",1
1,1981,43,18,"DS",3,"control",1
1,1981,43,20,"DM",2,"control",1
1,1981,43,20,"DS",1,"control",1
1,1981,43,20,"PE",2,"control",1
1,1981,43,22,"DS",2,"control",1
1,1981,43,22,"PF",2,"control",1
1,1982,53,1,"DM",2,"control",1
1,1982,53,1,"DO",3,"control",1
1,1982,53,1,"DS",2,"control",1
1,1982,53,2,"DM",1,"control",1
1,1982,53,2,"DO",1,"control",1
1,1982,53,2,"DS",2,"control",1
1,1982,53,2,"PE",4,"control",1
1,1982,53,2,"RM",1,"control",1
1,1982,53,4,"DM",4,"control",1
1,1982,53,4,"DS",2,"control",1
1,1982,53,6,"DS",1,"control",1
1,1982,54,1,"DM",1,"control",1
1,1982,54,1,"DO",2,"control",1
1,1982,54,2,"DM",1,"control",1
1,1982,54,2,"DS",2,"control",1
1,1982,54,2,"PE",3,"control",1
1,1982,54,4,"DM",5,"control",1
1,1982,54,6,"DS",1,"control",1
1,1982,54,6,"PE",1,"control",1
1,1982,54,9,"DM",1,"control",1
1,1982,54,9,"DO",1,"control",1
1,1982,54,9,"DS",1,"control",1
1,1982,54,11,"DM",7,"control",1
1,1982,54,11,"DS",1,"control",1
1,1982,54,11,"PE",1,"control",1
1,1982,54,11,"RM",1,"control",1
1,1982,54,12,"DM",6,"control",1
1,1982,54,12,"RM",2,"control",1
1,1982,54,13,"DM",3,"control",1
1,1982,54,13,"PE",1,"control",1
1,1982,54,13,"PF",2,"control",1
1,1982,54,14,"DM",4,"control",1
1,1982,54,17,"DS",1,"control",1
1,1982,54,17,"RM",1,"control",1
1,1982,54,18,"DM",2,"control",1
1,1982,54,18,"DS",1,"control",1
1,1982,54,20,"DM",1,"control",1
1,1982,54,20,"DO",1,"control",1
1,1982,54,20,"DS",1,"control",1
1,1982,54,20,"RM",1,"control",1
1,1982,54,22,"DM",1,"control",1
1,1982,54,22,"DS",1,"control",1
1,1983,64,1,"DM",9,"control",1
1,1983,64,1,"DO",6,"control",1
1,1983,64,1,"DS",1,"control",1
1,1983,64,1,"PF",1,"control",1
1,1983,64,2,"DM",2,"control",1
1,1983,64,2,"DO",2,"control",1
1,1983,64,2,"DS",1,"control",1
1,1983,64,2,"PE",1,"control",1
1,1983,64,4,"DM",6,"control",1
1,1983,64,4,"DS",4,"control",1
1,1983,64,4,"PF",2,"control",1
1,1983,64,6,"DM",7,"control",1
1,1983,64,6,"DO",4,"control",1
1,1983,64,6,"PM",1,"control",1
1,1983,64,8,"DO",1,"control",1
1,1983,64,8,"DS",2,"control",1
1,1983,64,8,"PF",2,"control",1
1,1983,64,9,"DM",3,"control",1
1,1983,64,9,"DO",2,"control",1
1,1983,64,9,"DS",1,"control",1
1,1983,64,11,"DM",4,"control",1
1,1983,64,11,"DO",1,"control",1
1,1983,64,11,"DS",2,"control",1
1,1983,64,11,"PF",1,"control",1
1,1983,64,11,"PM",1,"control",1
1,1983,64,11,"RM",1,"control",1
1,1983,64,12,"DM",6,"control",1
1,1983,64,12,"DO",1,"control",1
1,1983,64,12,"DS",2,"control",1
1,1983,64,12,"RM",2,"control",1
1,1983,64,13,"DM",3,"control",1
1,1983,64,13,"DS",1,"control",1
1,1983,64,13,"PF",1,"control",1
1,1983,64,14,"DM",4,"control",1
1,1983,64,14,"DS",1,"control",1
1,1983,64,14,"RM",2,"control",1
1,1983,64,17,"DM",2,"control",1
1,1983,64,17,"DO",1,"control",1
1,1983,64,17,"DS",1,"control",1
1,1983,64,17,"RM",2,"control",1
1,1983,64,18,"DM",3,"control",1
1,1983,64,18,"RM",2,"control",1
1,1983,64,20,"DM",3,"control",1
1,1983,64,20,"DO",1,"control",1
1,1983,64,20,"RM",1,"control",1
1,1983,64,22,"DM",2,"control",1
1,1983,64,22,"DS",2,"control",1
1,1983,64,22,"PF",1,"control",1
1,1985,86,1,"DM",9,"control",1
1,1985,86,1,"DO",3,"control",1
1,1985,86,1,"DS",1,"control",1
1,1985,86,2,"DM",5,"control",1
1,1985,86,2,"DO",2,"control",1
1,1985,86,2,"DS",1,"control",1
1,1985,86,4,"DM",4,"control",1
1,1985,86,4,"DO",1,"control",1
1,1985,86,6,"DM",7,"control",1
1,1985,86,6,"DO",7,"control",1
1,1985,86,8,"DM",1,"control",1
1,1985,86,8,"DO",2,"control",1
1,1985,86,9,"DM",3,"control",1
1,1985,86,9,"DO",5,"control",1
1,1985,86,11,"DM",2,"control",1
1,1985,86,11,"PM",1,"control",1
1,1985,86,12,"DM",6,"control",1
1,1985,86,12,"DO",4,"control",1
1,1985,86,12,"PE",1,"control",1
1,1985,86,13,"DM",3,"control",1
1,1985,86,14,"DM",2,"control",1
1,1985,86,14,"PM",1,"control",1
1,1985,86,17,"DM",1,"control",1
1,1985,86,17,"DO",1,"control",1
1,1985,86,17,"RM",1,"control",1
1,1985,86,18,"DM",4,"control",1
1,1985,86,18,"DO",1,"control",1
1,1985,86,20,"DM",1,"control",1
1,1985,86,20,"DO",2,"control",1
1,1987,107,6,"DM",2,"control",1
1,1987,107,6,"DO",3,"control",1
1,1987,107,12,"DM",3,"control",1
1,1987,107,12,"RM",1,"control",1
1,1987,107,14,"DM",3,"control",1
1,1987,107,14,"RM",1,"control",1
1,1987,107,17,"DO",1,"control",1
