"year","amar palm","ambr arte","aris adsc","bahi bite","bail mult","boer coul","boer inte","boer torr","bout aris","bout barb","cass lept","chen frem","chlo virg","crot pumi","dale brac","dith wisl","erag arid","erag cili","erig dive","erio aber","erio lemm","erod cicu","euph exst","euph fend","euph micr","euph serp","euph serr","hapl grac","ipom cost","kall cali","kall gran","kall hirs","mach tanr","moll cerv","moll vert","pani ariz","pani hirt","pani mili","pect papp","port parv","sals kali","sanv aber","sida spin","tide lanu","tria port"
1981,0,0,0,0,0,0,0,308,274,0,0,52,0,6,0,0,0,0,0,766,0,0,0,0,2,0,8,0,0,0,12,0,0,10,0,120,0,0,668,0,0,0,0,50,18
1982,2,0,10,0,0,0,0,94,854,412,0,0,0,0,0,0,0,0,0,314,0,0,0,0,6,0,4,0,0,0,0,0,0,4,0,10,0,0,36,0,0,0,0,40,0
1983,0,0,26,0,2,0,0,83,1081,0,0,30,0,0,0,0,0,0,0,707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0,0,0,0,47,0
1984,0,0,0,0,72,0,0,2,120,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,0,0,0,0,0,0,0,0,38,0,3,0,0,7,0,0,0,0,20,0
1985,0,0,0,0,100,0,0,5,53,0,0,0,0,0,0,0,0,0,0,50,0,0,0,9,0,0,0,0,0,0,0,0,0,17,74,2,0,0,9,0,0,0,0,5,0
1986,0,0,7,0,101,0,0,30,76,0,0,0,0,0,0,0,0,0,0,19,0,0,0,124,0,0,0,0,0,0,0,0,0,27,603,12,0,0,20,0,0,0,0,19,0
1987,0,0,59,0,220,0,0,239,686,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1028,0,0,0,0,0,0,0,0,0,461,1062,41,0,0,250,0,0,0,0,105,0
1988,0,0,37,0,10,0,0,39,614,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1270,8,0,0,3,0,0,0,0,37,0
1989,0,1,1124,0,38,0,172,0,10990,712,0,0,0,57,6,1,34,10,0,0,17,2,2,0,48,715,67,10,0,0,3,0,0,217,0,0,69,4,124,380,0,0,26,46,0
1990,0,0,3263,0,3,0,323,5,28314,614,0,0,0,11,12,0,0,0,0,0,0,0,0,0,29,231,18,0,0,0,4,0,0,30,0,68,28,0,185,106,0,0,0,48,0
1991,0,0,342,4,18,0,2,0,2946,0,0,9,0,0,0,0,0,0,4,67,0,0,0,0,0,2,3,4,0,0,0,0,1,0,0,2,0,0,0,4,0,0,1,7,0
1992,0,0,0,4,5,0,1,2,1,0,0,3,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,1937,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
1993,0,0,3,1,0,0,0,1,40,0,0,0,0,30,0,0,0,0,0,27,0,0,0,0,22,0,7,43,0,0,0,0,0,27,0,4,0,1,4,1,0,0,4,1,1
1994,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,114,0,0,0,0,0,8,0,221,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0
1996,0,0,0,2,0,2,32,1,156,281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,77,0,0,0,0,0,0,1,0,0,1,8,0,2,0,0,0,0,10,0
1997,0,0,205,0,0,0,35,1,15,4,0,0,0,28,0,0,0,0,0,241,0,0,0,0,3,101,9,24,0,0,0,0,1,0,0,0,16,0,5,0,0,0,0,43,0
1998,0,0,0,0,0,0,21,2,2,1,0,1,0,1,6,0,0,0,0,225,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,15,0
1999,0,0,0,0,0,0,5,9,34,208,0,0,0,7,6,0,0,0,0,0,0,5,0,0,1,13,5,0,0,0,1,0,0,10,0,17,7,3,2,0,0,0,0,11,1
2000,1,0,60,0,0,0,22,0,222,401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,2,0,0,0,0,0,0,6,0
2001,0,0,2,0,1,0,8,1,3,8,0,0,0,1,0,0,0,0,0,110,0,1,0,0,0,0,7,14,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,23,0
2002,1,0,44,0,0,0,67,32,56,638,0,0,0,40,39,0,0,0,0,2,0,7,2,0,6,52,9,0,2,0,7,0,0,135,5,94,37,24,4,0,0,0,0,150,0
2004,5,0,13,0,0,0,65,52,33,1047,2,0,0,33,4,0,0,0,0,29,0,6,1,0,31,142,11,1,4,0,1,0,0,7,349,45,61,1,93,1,0,1,0,214,2
2005,13,0,47,0,0,0,122,34,435,764,0,0,0,4,0,0,0,0,0,60,0,0,0,0,0,46,1,0,0,0,2,0,0,0,0,0,94,0,48,0,0,0,0,110,0
2006,9,0,103,0,0,0,121,87,108,318,1,0,1,20,7,0,2,6,0,0,1,617,0,0,38,209,26,0,0,0,4,0,0,23,55,101,51,1,98,0,0,1,0,137,7
2007,35,11,319,0,0,0,184,95,863,319,0,0,2,26,6,0,0,40,0,0,27,0,0,0,1,12,1,2,2,0,0,0,0,0,0,0,32,0,27,1,0,0,0,38,0
2008,420,0,1329,0,0,0,3,1,1784,174,27,0,0,237,14,0,146,7,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,363,146,20,0,0,0,0,1,97,0
2011,2,0,13,0,0,0,23,54,20,175,0,0,0,0,21,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,17,0,0,0,67,163,1,0,0,0,0,0,35,23
2014,557,0,1504,0,0,0,24,18,2708,207,5,0,1,6,2,0,0,8,0,2,144,0,0,0,5,32,3,0,0,1,1,0,0,17,0,48,100,3,4,0,0,0,0,93,16
