"year","amar palm","ambr arte","aris adsc","bahi bite","bail mult","boer coul","boer inte","boer torr","bout aris","bout barb","cass lept","chen frem","chlo virg","crot pumi","dale brac","erag arid","erag cili","erig dive","erio aber","erio lemm","erio poly","erod cicu","euph exst","euph fend","euph micr","euph serp","euph serr","hapl grac","hete suba","ipom cost","kall cali","kall gran","kall hirs","mach tanr","moll cerv","moll vert","pani ariz","pani hirt","pani mili","pect papp","port parv","prob parv","sals kali","sanv aber","sida spin","sola rost","spha coul","tide lanu","trag bert","tria port","verb ence"
1981,0,0,4,0,0,0,0,226,400,0,0,16,0,4,0,0,0,0,446,0,0,0,0,0,16,0,4,0,0,0,0,6,0,0,244,2,108,0,0,292,10,0,0,0,0,0,0,72,0,4,0
1982,0,0,68,0,0,0,0,94,1366,152,0,0,0,2,0,0,0,0,174,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,32,0,0,0
1983,0,0,95,0,4,0,0,66,1331,0,0,43,0,0,0,0,0,0,644,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,12,0,0,0,0,0,0,0,29,0,0,0
1984,0,0,8,0,43,0,0,7,164,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,25,34,5,0,0,7,0,0,0,0,0,0,0,13,0,0,0
1985,0,0,3,0,37,0,0,5,52,0,0,0,0,0,0,0,0,0,38,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,75,142,2,0,0,3,0,0,0,0,0,0,0,15,0,0,0
1986,0,0,104,0,45,0,0,97,109,0,0,0,0,0,0,0,0,0,13,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,11,306,20,0,0,8,0,0,0,0,0,0,0,48,0,0,0
1987,0,0,901,0,109,0,0,360,723,0,0,0,0,0,0,0,0,0,50,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,559,717,39,0,0,137,0,0,0,0,0,0,0,198,0,0,0
1988,0,0,378,0,15,0,0,163,530,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,977,4,0,0,6,0,0,0,0,0,0,0,20,0,0,0
1989,7,0,6567,0,13,0,1064,0,7612,68,0,0,0,68,50,0,0,0,0,58,0,7,2,0,20,387,23,2,0,0,0,4,0,0,159,0,0,44,30,46,2740,0,0,0,58,0,0,47,1,2,0
1990,5,0,11511,0,6,0,554,3,11728,204,0,0,0,45,107,3,0,0,1,154,0,0,0,0,14,69,6,0,0,1,0,6,0,0,17,0,51,42,1,66,69,0,0,3,0,0,0,18,0,2,0
1991,0,0,2872,9,6,0,7,0,2852,0,0,10,0,0,3,0,0,4,37,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,19,0,0,2,3,0,0,0,4,0,0,0,0,0,0
1992,0,0,3,7,1,0,1,0,4,0,0,3,0,0,3,0,0,0,287,0,0,0,0,0,0,1,0,1595,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1993,0,2,7,1,0,0,6,3,52,0,0,0,0,13,156,0,0,0,39,0,0,0,2,0,22,2,1,38,0,0,0,1,0,0,42,1,9,0,0,1,2,1,0,0,2,0,0,4,0,0,0
1994,0,0,4,0,0,0,0,4,34,0,1,0,0,10,2,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,15,0,4,0,0,5,0,0,0,0,0,0,30,0,0,0,0,0,2,2,1,56,0,0,0,2,0,3,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
1996,0,0,0,0,0,2,235,0,210,113,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,11,0,0,0
