"year","season","plot","species","abundance","quads","treatment"
1981,"summer",3,"boer torr",21,8,"exclosure"
1981,"summer",3,"bout aris",68,8,"exclosure"
1981,"summer",3,"chen frem",2,8,"exclosure"
1981,"summer",3,"crot pumi",1,8,"exclosure"
1981,"summer",3,"erio aber",72,8,"exclosure"
1981,"summer",3,"euph micr",1,8,"exclosure"
1981,"summer",3,"kall gran",1,8,"exclosure"
1981,"summer",3,"moll cerv",52,8,"exclosure"
1981,"summer",3,"moll vert",1,8,"exclosure"
1981,"summer",3,"pani ariz",36,8,"exclosure"
1981,"summer",3,"pect papp",55,8,"exclosure"
1981,"summer",3,"port parv",3,8,"exclosure"
1981,"summer",3,"tide lanu",7,8,"exclosure"
1981,"summer",15,"boer torr",2,8,"exclosure"
1981,"summer",15,"bout aris",2,8,"exclosure"
1981,"summer",15,"chen frem",1,8,"exclosure"
1981,"summer",15,"erio aber",14,8,"exclosure"
1981,"summer",15,"euph micr",2,8,"exclosure"
1981,"summer",15,"moll cerv",4,8,"exclosure"
1981,"summer",15,"pani ariz",2,8,"exclosure"
1981,"summer",15,"pect papp",24,8,"exclosure"
1981,"summer",19,"boer torr",26,8,"exclosure"
1981,"summer",19,"bout aris",22,8,"exclosure"
1981,"summer",19,"chen frem",2,8,"exclosure"
1981,"summer",19,"erio aber",89,8,"exclosure"
1981,"summer",19,"kall gran",1,8,"exclosure"
1981,"summer",19,"moll cerv",34,8,"exclosure"
1981,"summer",19,"pani ariz",2,8,"exclosure"
1981,"summer",19,"pect papp",11,8,"exclosure"
1981,"summer",19,"port parv",2,8,"exclosure"
1981,"summer",19,"tide lanu",4,8,"exclosure"
1981,"summer",19,"tria port",2,8,"exclosure"
1981,"summer",21,"aris adsc",2,8,"exclosure"
1981,"summer",21,"boer torr",64,8,"exclosure"
1981,"summer",21,"bout aris",108,8,"exclosure"
1981,"summer",21,"chen frem",3,8,"exclosure"
1981,"summer",21,"crot pumi",1,8,"exclosure"
1981,"summer",21,"erio aber",48,8,"exclosure"
1981,"summer",21,"euph micr",5,8,"exclosure"
1981,"summer",21,"euph serr",2,8,"exclosure"
1981,"summer",21,"kall gran",1,8,"exclosure"
1981,"summer",21,"moll cerv",32,8,"exclosure"
1981,"summer",21,"pani ariz",14,8,"exclosure"
1981,"summer",21,"pect papp",56,8,"exclosure"
1981,"summer",21,"tide lanu",25,8,"exclosure"
1982,"summer",3,"aris adsc",19,8,"exclosure"
1982,"summer",3,"boer torr",2,8,"exclosure"
