"month","year","period","plot","species","n","treatment","sampled"
4,1978,10,1,"DM",1,"control",1
4,1978,10,1,"DS",4,"control",1
4,1978,10,2,"DM",3,"control",1
4,1978,10,2,"DS",1,"control",1
4,1978,10,4,"DM",1,"control",1
4,1978,10,4,"DS",4,"control",1
4,1978,10,5,"DM",1,"control",1
4,1978,10,5,"DS",3,"control",1
4,1978,10,8,"DM",1,"control",1
4,1978,10,8,"DS",2,"control",1
4,1978,10,9,"DM",3,"control",1
4,1978,10,9,"DS",3,"control",1
4,1978,10,9,"PF",1,"control",1
4,1978,10,11,"DM",2,"control",1
4,1978,10,11,"DS",3,"control",1
4,1978,10,12,"DM",2,"control",1
4,1978,10,12,"DS",1,"control",1
4,1978,10,13,"DM",2,"control",1
4,1978,10,14,"DM",1,"control",1
4,1978,10,14,"DS",1,"control",1
4,1978,10,17,"DM",3,"control",1
4,1978,10,17,"DO",1,"control",1
4,1978,10,17,"DS",2,"control",1
4,1978,10,18,"DM",4,"control",1
4,1978,10,18,"DS",1,"control",1
4,1978,10,20,"DM",1,"control",1
4,1978,10,20,"DS",1,"control",1
4,1978,10,22,"DM",1,"control",1
4,1978,10,22,"DS",1,"control",1
4,1979,22,1,"DM",1,"control",1
4,1979,22,1,"DS",2,"control",1
4,1979,22,2,"DM",1,"control",1
4,1979,22,4,"DM",1,"control",1
4,1979,22,4,"DS",1,"control",1
4,1979,22,5,"DS",2,"control",1
4,1979,22,8,"DS",1,"control",1
4,1979,22,9,"DS",6,"control",1
4,1979,22,11,"DM",2,"control",1
4,1979,22,12,"DM",1,"control",1
4,1979,22,12,"DS",3,"control",1
4,1979,22,13,"DS",2,"control",1
4,1979,22,13,"PE",1,"control",1
4,1979,22,14,"DM",2,"control",1
4,1979,22,14,"DS",2,"control",1
4,1979,22,17,"DO",1,"control",1
4,1979,22,17,"DS",2,"control",1
4,1979,22,18,"DO",2,"control",1
4,1979,22,18,"DS",1,"control",1
4,1979,22,20,"DS",2,"control",1
4,1979,22,20,"PE",1,"control",1
4,1979,22,22,"DS",2,"control",1
4,1980,33,1,"DM",2,"control",1
4,1980,33,1,"DS",2,"control",1
4,1980,33,1,"PF",1,"control",1
4,1980,33,1,"PP",1,"control",1
4,1980,33,2,"DM",3,"control",1
4,1980,33,2,"PF",2,"control",1
4,1980,33,4,"DM",1,"control",1
4,1980,33,4,"DS",4,"control",1
4,1980,33,4,"PF",1,"control",1
4,1980,33,6,"DS",1,"control",1
4,1980,33,6,"PF",1,"control",1
4,1980,33,8,"DO",1,"control",1
4,1980,33,8,"DS",1,"control",1
4,1980,33,8,"PF",1,"control",1
4,1980,33,9,"DM",1,"control",1
4,1980,33,9,"DS",4,"control",1
4,1980,33,11,"DS",2,"control",1
4,1980,33,12,"DM",5,"control",1
4,1980,33,12,"DS",1,"control",1
4,1980,33,13,"DM",2,"control",1
4,1980,33,13,"DS",2,"control",1
4,1980,33,14,"DM",2,"control",1
4,1980,33,14,"DS",1,"control",1
4,1980,33,17,"DM",1,"control",1
4,1980,33,17,"DO",1,"control",1
4,1980,33,18,"DS",3,"control",1
4,1980,33,20,"DS",2,"control",1
4,1980,33,22,"DS",2,"control",1
4,1982,57,1,"DM",2,"control",1
4,1982,57,1,"DO",2,"control",1
4,1982,57,1,"DS",2,"control",1
4,1982,57,2,"DO",1,"control",1
4,1982,57,2,"DS",3,"control",1
4,1982,57,4,"DM",3,"control",1
4,1982,57,4,"DS",3,"control",1
4,1982,57,6,"DS",4,"control",1
4,1982,57,8,"DO",1,"control",1
4,1982,57,8,"DS",2,"control",1
4,1982,57,8,"PF",1,"control",1
4,1982,57,9,"DS",8,"control",1
4,1982,57,11,"DM",3,"control",1
4,1982,57,11,"DS",2,"control",1
4,1982,57,11,"PP",1,"control",1
4,1982,57,12,"DM",7,"control",1
4,1982,57,12,"DS",1,"control",1
4,1982,57,12,"PM",1,"control",1
4,1982,57,12,"PP",1,"control",1
4,1982,57,12,"RM",1,"control",1
4,1982,57,13,"DM",2,"control",1
4,1982,57,13,"DO",1,"control",1
4,1982,57,13,"DS",1,"control",1
4,1982,57,14,"DM",3,"control",1
4,1982,57,14,"RM",1,"control",1
4,1982,57,17,"DM",1,"control",1
4,1982,57,17,"DO",2,"control",1
4,1982,57,17,"PE",1,"control",1
4,1982,57,17,"PM",1,"control",1
4,1982,57,18,"DM",2,"control",1
4,1982,57,18,"DS",3,"control",1
4,1982,57,18,"RM",1,"control",1
4,1982,57,20,"DM",4,"control",1
4,1982,57,20,"DO",1,"control",1
4,1982,57,20,"DS",3,"control",1
4,1982,57,20,"PP",1,"control",1
4,1982,57,22,"DM",1,"control",1
4,1982,57,22,"DS",5,"control",1
4,1982,57,22,"PE",1,"control",1
4,1983,67,1,"DM",4,"control",1
4,1983,67,1,"DO",1,"control",1
4,1983,67,1,"DS",5,"control",1
4,1983,67,1,"PF",1,"control",1
4,1983,67,2,"DM",3,"control",1
4,1983,67,2,"DS",1,"control",1
4,1983,67,2,"PE",1,"control",1
4,1983,67,2,"PF",1,"control",1
4,1983,67,2,"PM",1,"control",1
4,1983,67,2,"RM",1,"control",1
4,1983,67,4,"DM",1,"control",1
4,1983,67,4,"DS",3,"control",1
4,1983,67,4,"PF",2,"control",1
4,1983,67,6,"DM",2,"control",1
4,1983,67,6,"DO",3,"control",1
4,1983,67,6,"PP",1,"control",1
4,1983,67,6,"RM",1,"control",1
4,1983,67,8,"DO",3,"control",1
4,1983,67,8,"DS",4,"control",1
4,1983,67,8,"PF",3,"control",1
4,1983,67,9,"DO",1,"control",1
4,1983,67,9,"DS",4,"control",1
4,1983,67,9,"PF",1,"control",1
4,1983,67,11,"DM",2,"control",1
4,1983,67,11,"DS",3,"control",1
4,1983,67,11,"PF",1,"control",1
4,1983,67,11,"PM",1,"control",1
4,1983,67,12,"DM",4,"control",1
4,1983,67,12,"DO",1,"control",1
4,1983,67,12,"DS",2,"control",1
4,1983,67,13,"DM",2,"control",1
4,1983,67,13,"DO",1,"control",1
4,1983,67,13,"DS",1,"control",1
4,1983,67,13,"PF",1,"control",1
4,1983,67,13,"PP",1,"control",1
4,1983,67,14,"DM",5,"control",1
4,1983,67,14,"DS",1,"control",1
4,1983,67,14,"PE",2,"control",1
4,1983,67,17,"DM",2,"control",1
4,1983,67,17,"DO",1,"control",1
4,1983,67,17,"DS",1,"control",1
4,1983,67,17,"PE",1,"control",1
4,1983,67,17,"RM",1,"control",1
4,1983,67,18,"DM",5,"control",1
4,1983,67,18,"DS",4,"control",1
4,1983,67,20,"DM",2,"control",1
4,1983,67,20,"DO",1,"control",1
4,1983,67,20,"DS",1,"control",1
4,1983,67,22,"DM",3,"control",1
4,1983,67,22,"DS",5,"control",1
4,1983,67,22,"PF",3,"control",1
4,1983,67,22,"RM",1,"control",1
4,1984,78,1,"DM",3,"control",1
4,1984,78,2,"DM",1,"control",1
4,1984,78,4,"DM",1,"control",1
4,1984,78,4,"DS",2,"control",1
4,1984,78,6,"DM",1,"control",1
4,1984,78,8,"DO",1,"control",1
4,1984,78,9,"DM",1,"control",1
4,1984,78,9,"DO",2,"control",1
4,1984,78,9,"DS",2,"control",1
4,1984,78,9,"PP",1,"control",1
4,1984,78,11,"DM",1,"control",1
4,1984,78,11,"DS",1,"control",1
4,1984,78,12,"DM",1,"control",1
4,1984,78,12,"DO",1,"control",1
4,1984,78,12,"DS",2,"control",1
4,1984,78,12,"PM",1,"control",1
4,1984,78,13,"DS",1,"control",1
4,1984,78,13,"RM",1,"control",1
4,1984,78,14,"DM",1,"control",1
4,1984,78,14,"RM",1,"control",1
4,1984,78,17,"DM",1,"control",1
4,1984,78,17,"DS",1,"control",1
4,1984,78,18,"DM",3,"control",1
4,1984,78,18,"DS",1,"control",1
4,1984,78,20,"DM",1,"control",1
4,1984,78,20,"DS",1,"control",1
4,1984,78,22,"DM",2,"control",1
4,1984,78,22,"DS",4,"control",1
4,1984,78,22,"PM",1,"control",1
4,1986,98,1,"DM",3,"control",1
4,1986,98,1,"DO",1,"control",1
4,1986,98,1,"DS",4,"control",1
4,1986,98,1,"PM",1,"control",1
4,1986,98,2,"DM",5,"control",1
4,1986,98,4,"DM",2,"control",1
4,1986,98,4,"DO",1,"control",1
4,1986,98,4,"DS",3,"control",1
4,1986,98,6,"DO",1,"control",1
4,1986,98,8,"DO",1,"control",1
4,1986,98,8,"DS",2,"control",1
4,1986,98,9,"DM",5,"control",1
4,1986,98,9,"DS",1,"control",1
4,1986,98,11,"DM",4,"control",1
4,1986,98,11,"DS",1,"control",1
4,1986,98,12,"DM",5,"control",1
4,1986,98,12,"DO",2,"control",1
4,1986,98,12,"DS",1,"control",1
4,1986,98,13,"DM",3,"control",1
4,1986,98,14,"DM",4,"control",1
4,1986,98,17,"DM",1,"control",1
4,1986,98,17,"DO",1,"control",1
4,1986,98,18,"DM",1,"control",1
4,1986,98,20,"DM",1,"control",1
4,1986,98,22,"DM",3,"control",1
4,1986,98,22,"DS",1,"control",1
4,1986,98,22,"PE",2,"control",1
4,1987,109,1,"DM",3,"control",1
4,1987,109,1,"DS",2,"control",1
4,1987,109,2,"DM",3,"control",1
4,1987,109,2,"DO",2,"control",1
4,1987,109,2,"DS",1,"control",1
4,1987,109,2,"PE",1,"control",1
4,1987,109,2,"PM",3,"control",1
4,1987,109,4,"DM",4,"control",1
4,1987,109,4,"DS",2,"control",1
4,1987,109,4,"PP",1,"control",1
4,1987,109,4,"RM",1,"control",1
4,1987,109,6,"DM",1,"control",1
4,1987,109,6,"DO",5,"control",1
4,1987,109,6,"PE",1,"control",1
4,1987,109,6,"PM",1,"control",1
4,1987,109,8,"DM",3,"control",1
4,1987,109,8,"DO",1,"control",1
4,1987,109,8,"DS",3,"control",1
4,1987,109,9,"DM",4,"control",1
4,1987,109,9,"DO",4,"control",1
4,1987,109,9,"DS",1,"control",1
4,1987,109,11,"DM",2,"control",1
4,1987,109,11,"PE",1,"control",1
4,1987,109,11,"PP",1,"control",1
4,1987,109,12,"DM",3,"control",1
4,1987,109,13,"DM",2,"control",1
4,1987,109,13,"DS",2,"control",1
4,1987,109,13,"PE",1,"control",1
4,1987,109,14,"DM",2,"control",1
4,1987,109,14,"PE",1,"control",1
4,1987,109,14,"RM",1,"control",1
4,1987,109,17,"DM",1,"control",1
4,1987,109,17,"DO",3,"control",1
4,1987,109,18,"DM",3,"control",1
4,1987,109,20,"DM",5,"control",1
4,1987,109,20,"DO",3,"control",1
4,1987,109,22,"DM",1,"control",1
4,1987,109,22,"DS",1,"control",1
4,1987,110,1,"DM",3,"control",1
4,1987,110,1,"DS",4,"control",1
