"year","ambr arte","amsi tess","astr allo","astr nutt","bail mult","caly wrig","chae stev","chen frem","chor tene","cryp cras","cryp micr","dale brac","desc obtu","desc pinn","dith wisl","eria diff","erig dive","erio aber","erod cicu","erod texa","esch mexi","gili sinu","hapl grac","laen coul","lapp redo","lepi lasi","lesq gord","lina bige","lupi brev","lupi conc","mala fend","micr lene","oeno prim","pani hirt","pect recu","phac ariz","plag ariz","plan purs","schi barb","sisy irio","sper echi","step exig","vulp octo"
1982,0,0,0,16,12,0,0,0,0,46,34,0,0,708,0,1212,0,7712,0,0,0,4,0,0,0,0,2,0,0,0,394,0,0,0,0,122,0,0,0,0,16,0,0
1983,0,0,2,3,20,0,0,0,0,68,85,0,0,717,0,1840,0,2904,0,0,108,6,2,0,0,0,0,0,0,0,247,1,0,0,0,107,0,0,0,0,43,4,0
1984,0,0,11,4,190,0,0,0,0,217,257,0,0,280,0,13646,160,294,0,0,0,23,8,0,0,0,7,0,0,0,149,9,0,0,0,17,0,0,0,0,65,19,0
1985,0,0,5,0,304,0,4,0,0,70,68,0,0,192,0,2932,32,156,1,0,0,10,120,0,0,1,14,0,0,0,112,11,0,0,0,3,0,0,0,0,27,46,0
1986,0,0,0,11,275,0,11,0,0,15,15,0,0,33,0,599,62,263,1,1,138,0,1703,0,0,2,14,0,0,0,24,6,0,0,0,4,0,6,0,0,46,15,0
1987,0,0,4,5,210,0,29,0,0,30,168,0,0,207,0,1590,56,925,10,1,30,9,6876,0,0,0,5,0,0,0,118,9,0,0,0,52,0,17,0,0,105,79,0
1988,0,0,0,14,11,0,43,0,0,2,65,0,0,19,0,768,13,347,10,1,144,11,3685,0,0,0,4,0,0,0,27,3,0,0,0,3,0,12,0,0,21,38,0
1989,0,0,4,36,141,0,0,0,0,33,129,0,0,10,0,403,60,277,51,0,0,0,19019,0,0,0,16,0,0,0,0,0,0,0,0,2,0,61,0,0,49,28,30
1990,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1991,0,0,3,16,23,0,2,22,0,1,5,0,0,5,1,103,6,83,0,0,0,1,192,0,0,0,2,0,0,15,28,5,13,0,0,23,1,10,0,0,23,14,9
1992,0,0,11,26,11,8,74,15,0,2,64,2,0,87,0,1366,53,2938,0,0,0,17,8531,0,0,7,9,0,0,84,37,4,2,0,0,26,0,56,0,0,90,97,69
1993,0,0,8,132,9,0,111,11,0,13,177,1,0,175,0,739,8,717,1,1,0,43,10208,0,0,43,14,0,0,100,46,6,0,0,0,15,0,254,0,0,146,71,573
1994,0,0,0,9,0,13,241,3,0,6,84,0,0,56,1,179,0,88,6,0,0,2,175,0,0,0,1,0,0,0,0,4,0,0,0,2,0,44,0,0,11,39,113
1995,0,0,2,490,5,51,85,31,0,19,230,0,0,190,1,674,3,269,11,0,0,25,513,0,0,51,31,0,0,80,1,9,21,0,0,139,27,100,0,0,337,53,362
1997,0,0,0,547,5,0,374,8,2,53,60,0,0,72,0,181,0,724,101,1,0,4,423,0,12,4,189,3,0,19,4,29,18,0,0,202,1,150,5,0,81,15,53
1998,0,0,2,52,1,0,255,9,0,5,1,0,0,25,0,14,0,343,288,0,0,0,2,0,0,0,24,1,0,21,0,12,1,0,0,1,0,37,5,0,2,0,18
1999,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,1,577,3,0,325,133,0,14,46,0,0,106,0,17,1,0,516,0,0,0,24,0,0,0,240,0,0,4,0,1,24,0,0,165,0,50,0,0,108,1,26
2002,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,3,349,368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,1,1,0,74,0,0,3,0,0,0,75,0,13,0,21,1836,0,0,0,3,0,0,0,88,0,0,0,0,0,0,0,0,1,0,22,0,1,1,0,13
2004,0,0,1,105,1,0,178,0,0,2,9,0,0,51,0,6,0,84,1091,1,1,0,1,0,1,4,162,1,0,0,0,0,11,0,0,4,0,14,0,0,1,0,4
2005,0,2,0,335,0,1,1293,0,0,3,24,0,0,86,0,27,1,974,1499,0,0,0,16,0,0,8,342,12,0,3,0,2,6,7,0,5,0,13,0,0,10,3,28
2007,0,0,0,188,1,0,3,0,0,2,0,1,0,2,0,4,0,0,1030,0,1,0,1,0,0,1,47,0,0,3,0,0,1,0,0,0,0,4,0,0,8,0,0
2008,0,0,0,98,0,0,22,0,0,0,2,0,0,28,0,6,0,3,1007,0,0,1,17,0,0,2,26,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,0,0,1135,0,0,124,0,0,2,1,0,6,27,0,3,0,0,310,0,1,0,0,0,51,6,174,3,0,5,0,1,6,0,3,87,1,7,0,0,5,0,0
2013,0,0,0,10,0,0,12,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,83,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2014,0,0,0,221,0,0,247,0,0,0,0,0,0,27,0,2,0,0,49,0,1,0,0,0,0,15,129,4,0,3,2,0,2,0,2,117,0,2,0,0,0,0,0
2015,0,2,0,168,2,0,124,0,0,0,0,0,5,35,0,6,0,9,19,0,0,0,0,1,0,25,132,2,0,3,0,0,6,0,2,29,0,6,0,0,0,0,0
