"year","season","plot","species","abundance","quads","treatment"
1982,"winter",4,"cryp cras",6,8,"control"
1982,"winter",4,"cryp micr",3,8,"control"
1982,"winter",4,"desc pinn",135,8,"control"
1982,"winter",4,"eria diff",58,8,"control"
1982,"winter",4,"erio aber",1364,8,"control"
1982,"winter",4,"mala fend",86,8,"control"
1982,"winter",4,"phac ariz",2,8,"control"
1982,"winter",11,"cryp cras",5,8,"control"
1982,"winter",11,"cryp micr",14,8,"control"
1982,"winter",11,"desc pinn",56,8,"control"
1982,"winter",11,"eria diff",479,8,"control"
1982,"winter",11,"erio aber",1477,8,"control"
1982,"winter",11,"gili sinu",2,8,"control"
1982,"winter",11,"lesq gord",1,8,"control"
1982,"winter",11,"mala fend",44,8,"control"
1982,"winter",11,"phac ariz",27,8,"control"
1982,"winter",14,"cryp cras",4,8,"control"
1982,"winter",14,"desc pinn",99,8,"control"
1982,"winter",14,"eria diff",14,8,"control"
1982,"winter",14,"erio aber",622,8,"control"
1982,"winter",14,"mala fend",35,8,"control"
1982,"winter",14,"phac ariz",14,8,"control"
1982,"winter",14,"sper echi",3,8,"control"
1982,"winter",17,"astr nutt",8,8,"control"
1982,"winter",17,"bail mult",6,8,"control"
1982,"winter",17,"cryp cras",8,8,"control"
1982,"winter",17,"desc pinn",64,8,"control"
1982,"winter",17,"eria diff",55,8,"control"
1982,"winter",17,"erio aber",393,8,"control"
1982,"winter",17,"mala fend",32,8,"control"
1982,"winter",17,"phac ariz",18,8,"control"
1982,"winter",17,"sper echi",5,8,"control"
1983,"winter",4,"astr allo",1,16,"control"
1983,"winter",4,"bail mult",5,16,"control"
1983,"winter",4,"cryp cras",10,16,"control"
1983,"winter",4,"cryp micr",27,16,"control"
1983,"winter",4,"desc pinn",181,16,"control"
1983,"winter",4,"eria diff",262,16,"control"
1983,"winter",4,"erio aber",1136,16,"control"
1983,"winter",4,"esch mexi",108,16,"control"
1983,"winter",4,"gili sinu",4,16,"control"
1983,"winter",4,"mala fend",134,16,"control"
1983,"winter",4,"micr lene",1,16,"control"
1983,"winter",4,"phac ariz",8,16,"control"
1983,"winter",4,"sper echi",7,16,"control"
1983,"winter",4,"step exig",4,16,"control"
1983,"winter",11,"bail mult",10,16,"control"
1983,"winter",11,"cryp cras",27,16,"control"
1983,"winter",11,"cryp micr",54,16,"control"
1983,"winter",11,"desc pinn",131,16,"control"
1983,"winter",11,"eria diff",1371,16,"control"
1983,"winter",11,"erio aber",437,16,"control"
1983,"winter",11,"gili sinu",1,16,"control"
1983,"winter",11,"hapl grac",1,16,"control"
1983,"winter",11,"mala fend",40,16,"control"
1983,"winter",11,"phac ariz",13,16,"control"
1983,"winter",11,"sper echi",1,16,"control"
1983,"winter",14,"astr allo",1,16,"control"
1983,"winter",14,"astr nutt",3,16,"control"
1983,"winter",14,"bail mult",1,16,"control"
1983,"winter",14,"cryp cras",13,16,"control"
1983,"winter",14,"cryp micr",1,16,"control"
1983,"winter",14,"desc pinn",124,16,"control"
1983,"winter",14,"eria diff",43,16,"control"
1983,"winter",14,"erio aber",845,16,"control"
1983,"winter",14,"mala fend",40,16,"control"
1983,"winter",14,"phac ariz",46,16,"control"
1983,"winter",14,"sper echi",19,16,"control"
1983,"winter",17,"bail mult",4,16,"control"
1983,"winter",17,"cryp cras",18,16,"control"
1983,"winter",17,"cryp micr",3,16,"control"
1983,"winter",17,"desc pinn",281,16,"control"
1983,"winter",17,"eria diff",164,16,"control"
1983,"winter",17,"erio aber",486,16,"control"
1983,"winter",17,"gili sinu",1,16,"control"
1983,"winter",17,"hapl grac",1,16,"control"
1983,"winter",17,"mala fend",33,16,"control"
1983,"winter",17,"phac ariz",40,16,"control"
1983,"winter",17,"sper echi",16,16,"control"
1984,"winter",4,"bail mult",29,16,"control"
1984,"winter",4,"cryp cras",21,16,"control"
1984,"winter",4,"cryp micr",108,16,"control"
1984,"winter",4,"desc pinn",32,16,"control"
1984,"winter",4,"eria diff",4364,16,"control"
1984,"winter",4,"erig dive",25,16,"control"
1984,"winter",4,"erio aber",146,16,"control"
1984,"winter",4,"gili sinu",14,16,"control"
1984,"winter",4,"hapl grac",7,16,"control"
1984,"winter",4,"lesq gord",3,16,"control"
1984,"winter",4,"mala fend",40,16,"control"
1984,"winter",4,"micr lene",2,16,"control"
1984,"winter",4,"phac ariz",3,16,"control"
1984,"winter",4,"sper echi",8,16,"control"
1984,"winter",4,"step exig",12,16,"control"
1984,"winter",11,"astr allo",4,16,"control"
1984,"winter",11,"bail mult",76,16,"control"
1984,"winter",11,"cryp cras",17,16,"control"
1984,"winter",11,"cryp micr",88,16,"control"
1984,"winter",11,"desc pinn",71,16,"control"
1984,"winter",11,"eria diff",6276,16,"control"
1984,"winter",11,"erig dive",93,16,"control"
1984,"winter",11,"erio aber",36,16,"control"
1984,"winter",11,"gili sinu",6,16,"control"
1984,"winter",11,"hapl grac",1,16,"control"
1984,"winter",11,"lesq gord",2,16,"control"
1984,"winter",11,"mala fend",19,16,"control"
1984,"winter",11,"micr lene",2,16,"control"
1984,"winter",11,"sper echi",7,16,"control"
1984,"winter",14,"astr allo",6,16,"control"
1984,"winter",14,"astr nutt",4,16,"control"
1984,"winter",14,"bail mult",26,16,"control"
1984,"winter",14,"cryp cras",58,16,"control"
1984,"winter",14,"cryp micr",37,16,"control"
1984,"winter",14,"desc pinn",106,16,"control"
1984,"winter",14,"eria diff",403,16,"control"
1984,"winter",14,"erig dive",8,16,"control"
1984,"winter",14,"erio aber",39,16,"control"
1984,"winter",14,"mala fend",55,16,"control"
1984,"winter",14,"micr lene",1,16,"control"
1984,"winter",14,"phac ariz",7,16,"control"
1984,"winter",14,"sper echi",32,16,"control"
1984,"winter",17,"astr allo",1,16,"control"
1984,"winter",17,"bail mult",59,16,"control"
1984,"winter",17,"cryp cras",121,16,"control"
1984,"winter",17,"cryp micr",24,16,"control"
1984,"winter",17,"desc pinn",71,16,"control"
1984,"winter",17,"eria diff",2603,16,"control"
1984,"winter",17,"erig dive",34,16,"control"
1984,"winter",17,"erio aber",73,16,"control"
1984,"winter",17,"gili sinu",3,16,"control"
1984,"winter",17,"lesq gord",2,16,"control"
1984,"winter",17,"mala fend",35,16,"control"
1984,"winter",17,"micr lene",4,16,"control"
1984,"winter",17,"phac ariz",7,16,"control"
1984,"winter",17,"sper echi",18,16,"control"
1984,"winter",17,"step exig",7,16,"control"
1985,"winter",4,"astr allo",1,16,"control"
1985,"winter",4,"bail mult",120,16,"control"
1985,"winter",4,"chae stev",2,16,"control"
1985,"winter",4,"cryp cras",34,16,"control"
1985,"winter",4,"cryp micr",19,16,"control"
1985,"winter",4,"desc pinn",28,16,"control"
1985,"winter",4,"eria diff",734,16,"control"
1985,"winter",4,"erio aber",57,16,"control"
1985,"winter",4,"gili sinu",1,16,"control"
1985,"winter",4,"hapl grac",6,16,"control"
1985,"winter",4,"lesq gord",13,16,"control"
1985,"winter",4,"mala fend",38,16,"control"
1985,"winter",4,"micr lene",9,16,"control"
1985,"winter",4,"phac ariz",1,16,"control"
1985,"winter",4,"sper echi",9,16,"control"
1985,"winter",4,"step exig",23,16,"control"
1985,"winter",11,"astr allo",2,16,"control"
1985,"winter",11,"bail mult",154,16,"control"
1985,"winter",11,"chae stev",2,16,"control"
1985,"winter",11,"cryp cras",24,16,"control"
1985,"winter",11,"cryp micr",34,16,"control"
1985,"winter",11,"desc pinn",133,16,"control"
1985,"winter",11,"eria diff",362,16,"control"
1985,"winter",11,"erig dive",20,16,"control"
1985,"winter",11,"erio aber",60,16,"control"
1985,"winter",11,"gili sinu",8,16,"control"
1985,"winter",11,"hapl grac",99,16,"control"
1985,"winter",11,"lepi lasi",1,16,"control"
1985,"winter",11,"lesq gord",1,16,"control"
1985,"winter",11,"mala fend",27,16,"control"
1985,"winter",11,"micr lene",2,16,"control"
1985,"winter",11,"phac ariz",1,16,"control"
1985,"winter",11,"sper echi",10,16,"control"
1985,"winter",11,"step exig",9,16,"control"
1985,"winter",14,"astr allo",1,16,"control"
1985,"winter",14,"bail mult",25,16,"control"
1985,"winter",14,"cryp cras",3,16,"control"
