"year","season","plot","species","abundance","quads","treatment"
1982,"winter",3,"cryp micr",14,8,"exclosure"
1982,"winter",3,"desc pinn",35,8,"exclosure"
1982,"winter",3,"dith wisl",1,8,"exclosure"
1982,"winter",3,"eria diff",101,8,"exclosure"
1982,"winter",3,"erio aber",1497,8,"exclosure"
1982,"winter",3,"gili sinu",27,8,"exclosure"
1982,"winter",3,"lepi lasi",2,8,"exclosure"
1982,"winter",3,"lesq gord",1,8,"exclosure"
1982,"winter",3,"mala fend",83,8,"exclosure"
1982,"winter",3,"phac ariz",5,8,"exclosure"
1982,"winter",3,"sper echi",1,8,"exclosure"
1982,"winter",19,"bail mult",5,8,"exclosure"
1982,"winter",19,"cryp cras",2,8,"exclosure"
1982,"winter",19,"cryp micr",1,8,"exclosure"
1982,"winter",19,"desc pinn",7,8,"exclosure"
1982,"winter",19,"eria diff",60,8,"exclosure"
1982,"winter",19,"erio aber",373,8,"exclosure"
1982,"winter",19,"erod cicu",3,8,"exclosure"
1982,"winter",19,"hapl grac",1,8,"exclosure"
1982,"winter",19,"lepi lasi",22,8,"exclosure"
1982,"winter",19,"lesq gord",12,8,"exclosure"
1982,"winter",19,"mala fend",16,8,"exclosure"
1982,"winter",19,"phac ariz",36,8,"exclosure"
1983,"winter",3,"bail mult",2,16,"exclosure"
1983,"winter",3,"cryp cras",5,16,"exclosure"
1983,"winter",3,"cryp micr",121,16,"exclosure"
1983,"winter",3,"desc pinn",131,16,"exclosure"
1983,"winter",3,"eria diff",343,16,"exclosure"
1983,"winter",3,"erig dive",10,16,"exclosure"
1983,"winter",3,"erio aber",947,16,"exclosure"
1983,"winter",3,"erod cicu",2,16,"exclosure"
1983,"winter",3,"erod texa",1,16,"exclosure"
1983,"winter",3,"gili sinu",73,16,"exclosure"
1983,"winter",3,"lepi lasi",1,16,"exclosure"
1983,"winter",3,"lesq gord",1,16,"exclosure"
1983,"winter",3,"mala fend",135,16,"exclosure"
1983,"winter",3,"micr lene",7,16,"exclosure"
1983,"winter",3,"phac ariz",2,16,"exclosure"
1983,"winter",3,"sper echi",14,16,"exclosure"
1983,"winter",15,"astr allo",1,16,"exclosure"
1983,"winter",15,"astr nutt",4,16,"exclosure"
1983,"winter",15,"bail mult",3,16,"exclosure"
1983,"winter",15,"cryp cras",21,16,"exclosure"
1983,"winter",15,"desc pinn",30,16,"exclosure"
1983,"winter",15,"eria diff",18,16,"exclosure"
1983,"winter",15,"erio aber",430,16,"exclosure"
1983,"winter",15,"gili sinu",2,16,"exclosure"
1983,"winter",15,"mala fend",10,16,"exclosure"
1983,"winter",15,"micr lene",1,16,"exclosure"
1983,"winter",15,"phac ariz",26,16,"exclosure"
1983,"winter",15,"sper echi",4,16,"exclosure"
1983,"winter",19,"astr nutt",12,16,"exclosure"
1983,"winter",19,"chae stev",1,16,"exclosure"
1983,"winter",19,"cryp cras",6,16,"exclosure"
1983,"winter",19,"cryp micr",1,16,"exclosure"
1983,"winter",19,"desc pinn",17,16,"exclosure"
1983,"winter",19,"eria diff",705,16,"exclosure"
1983,"winter",19,"erio aber",685,16,"exclosure"
1983,"winter",19,"erod cicu",8,16,"exclosure"
1983,"winter",19,"gili sinu",1,16,"exclosure"
1983,"winter",19,"lepi lasi",40,16,"exclosure"
1983,"winter",19,"lesq gord",14,16,"exclosure"
1983,"winter",19,"mala fend",21,16,"exclosure"
1983,"winter",19,"micr lene",2,16,"exclosure"
1983,"winter",19,"phac ariz",20,16,"exclosure"
1983,"winter",19,"sper echi",2,16,"exclosure"
1983,"winter",21,"astr nutt",8,16,"exclosure"
1983,"winter",21,"bail mult",3,16,"exclosure"
1983,"winter",21,"chae stev",1,16,"exclosure"
1983,"winter",21,"cryp cras",9,16,"exclosure"
1983,"winter",21,"cryp micr",38,16,"exclosure"
1983,"winter",21,"desc pinn",56,16,"exclosure"
1983,"winter",21,"eria diff",617,16,"exclosure"
1983,"winter",21,"erig dive",4,16,"exclosure"
1983,"winter",21,"erio aber",967,16,"exclosure"
1983,"winter",21,"erod cicu",3,16,"exclosure"
1983,"winter",21,"erod texa",1,16,"exclosure"
1983,"winter",21,"gili sinu",4,16,"exclosure"
1983,"winter",21,"hapl grac",14,16,"exclosure"
1983,"winter",21,"lepi lasi",3,16,"exclosure"
1983,"winter",21,"lesq gord",12,16,"exclosure"
1983,"winter",21,"mala fend",72,16,"exclosure"
1983,"winter",21,"micr lene",17,16,"exclosure"
1983,"winter",21,"phac ariz",16,16,"exclosure"
1983,"winter",21,"sper echi",5,16,"exclosure"
1984,"winter",3,"astr allo",16,16,"exclosure"
1984,"winter",3,"bail mult",28,16,"exclosure"
1984,"winter",3,"cryp cras",39,16,"exclosure"
1984,"winter",3,"cryp micr",100,16,"exclosure"
1984,"winter",3,"desc pinn",20,16,"exclosure"
1984,"winter",3,"eria diff",4537,16,"exclosure"
1984,"winter",3,"erig dive",175,16,"exclosure"
1984,"winter",3,"erio aber",64,16,"exclosure"
1984,"winter",3,"erod cicu",14,16,"exclosure"
1984,"winter",3,"erod texa",2,16,"exclosure"
1984,"winter",3,"gili sinu",210,16,"exclosure"
1984,"winter",3,"lesq gord",9,16,"exclosure"
1984,"winter",3,"mala fend",23,16,"exclosure"
1984,"winter",3,"micr lene",40,16,"exclosure"
1984,"winter",3,"phac ariz",3,16,"exclosure"
1984,"winter",3,"plan purs",875,16,"exclosure"
1984,"winter",3,"sper echi",11,16,"exclosure"
1984,"winter",3,"step exig",3,16,"exclosure"
1984,"winter",15,"astr allo",2,16,"exclosure"
1984,"winter",15,"astr nutt",3,16,"exclosure"
1984,"winter",15,"bail mult",20,16,"exclosure"
1984,"winter",15,"cryp cras",356,16,"exclosure"
1984,"winter",15,"cryp micr",5,16,"exclosure"
1984,"winter",15,"desc pinn",36,16,"exclosure"
1984,"winter",15,"eria diff",255,16,"exclosure"
1984,"winter",15,"erig dive",1,16,"exclosure"
1984,"winter",15,"erio aber",18,16,"exclosure"
1984,"winter",15,"gili sinu",7,16,"exclosure"
1984,"winter",15,"lepi lasi",1,16,"exclosure"
1984,"winter",15,"mala fend",12,16,"exclosure"
1984,"winter",15,"phac ariz",9,16,"exclosure"
1984,"winter",15,"sper echi",22,16,"exclosure"
1984,"winter",19,"astr allo",6,16,"exclosure"
1984,"winter",19,"astr nutt",2,16,"exclosure"
1984,"winter",19,"bail mult",40,16,"exclosure"
1984,"winter",19,"chae stev",23,16,"exclosure"
1984,"winter",19,"cryp cras",53,16,"exclosure"
1984,"winter",19,"cryp micr",1,16,"exclosure"
1984,"winter",19,"desc pinn",3,16,"exclosure"
1984,"winter",19,"eria diff",6240,16,"exclosure"
1984,"winter",19,"erig dive",2,16,"exclosure"
1984,"winter",19,"erio aber",3,16,"exclosure"
1984,"winter",19,"erod cicu",430,16,"exclosure"
1984,"winter",19,"gili sinu",3,16,"exclosure"
1984,"winter",19,"hapl grac",6,16,"exclosure"
1984,"winter",19,"lepi lasi",19,16,"exclosure"
1984,"winter",19,"lesq gord",382,16,"exclosure"
1984,"winter",19,"mala fend",10,16,"exclosure"
1984,"winter",19,"micr lene",3,16,"exclosure"
1984,"winter",19,"phac ariz",2,16,"exclosure"
1984,"winter",19,"sper echi",2,16,"exclosure"
1984,"winter",21,"astr allo",8,16,"exclosure"
1984,"winter",21,"astr nutt",17,16,"exclosure"
1984,"winter",21,"bail mult",68,16,"exclosure"
1984,"winter",21,"chae stev",12,16,"exclosure"
1984,"winter",21,"cryp cras",34,16,"exclosure"
1984,"winter",21,"cryp micr",66,16,"exclosure"
1984,"winter",21,"desc pinn",5,16,"exclosure"
1984,"winter",21,"eria diff",5286,16,"exclosure"
1984,"winter",21,"erig dive",24,16,"exclosure"
1984,"winter",21,"erio aber",46,16,"exclosure"
1984,"winter",21,"erod cicu",14,16,"exclosure"
1984,"winter",21,"erod texa",2,16,"exclosure"
1984,"winter",21,"gili sinu",4,16,"exclosure"
1984,"winter",21,"hapl grac",256,16,"exclosure"
1984,"winter",21,"lepi lasi",2,16,"exclosure"
1984,"winter",21,"lesq gord",274,16,"exclosure"
1984,"winter",21,"mala fend",16,16,"exclosure"
1984,"winter",21,"micr lene",51,16,"exclosure"
1984,"winter",21,"phac ariz",2,16,"exclosure"
1984,"winter",21,"sper echi",7,16,"exclosure"
1985,"winter",3,"astr allo",2,16,"exclosure"
1985,"winter",3,"astr nutt",5,16,"exclosure"
1985,"winter",3,"bail mult",45,16,"exclosure"
1985,"winter",3,"cryp cras",81,16,"exclosure"
1985,"winter",3,"cryp micr",48,16,"exclosure"
1985,"winter",3,"desc pinn",68,16,"exclosure"
1985,"winter",3,"eria diff",472,16,"exclosure"
1985,"winter",3,"erig dive",31,16,"exclosure"
1985,"winter",3,"erio aber",119,16,"exclosure"
1985,"winter",3,"erod texa",2,16,"exclosure"
1985,"winter",3,"gili sinu",25,16,"exclosure"
1985,"winter",3,"lepi lasi",2,16,"exclosure"
1985,"winter",3,"lesq gord",6,16,"exclosure"
