"","V1","V2"
"ambr.arte",-0.187044394193158,0.0712912588108281
"astr.allo",-0.21155694487828,-0.0646314998484444
"astr.nutt",0.129958078021073,-0.00213721696907482
"bail.mult",-0.250310883525367,-0.181923637776253
"caly.wrig",-0.106641714576168,0.017047405346852
"chae.stev",0.0312203261770406,-0.0313234586777959
"chen.frem",0.017461889130008,0.33932229889871
"cryp.cras",-0.198550934416634,-0.121526018818218
"cryp.micr",-0.238910470666836,-0.1189559049431
"dale.brac",-0.207414401002077,0.0589372717306157
"desc.obtu",0.0190152193502249,0.352704031229603
"desc.pinn",-0.0206657127873244,0.000583621129373508
"dith.wisl",-0.178849687264432,0.163756005298384
"eria.diff",-0.275951902321067,-0.126414667791606
"erig.dive",-0.249158228308666,-0.148002788935628
"erio.aber",-0.0121037970683501,-0.0345783044585389
"erio.lemm",-0.125982223448034,-0.0777302045454827
"erod.cicu",0.312898752316679,-0.110875208892155
"erod.texa",-0.00994318848309237,-0.124493733353555
"esch.mexi",0.0645003090613288,0.209338995827255
"gili.sinu",-0.241705065838648,-0.0637317905512416
"hapl.grac",-0.18188145168327,-0.176859925509787
"hete.suba",-0.00305321993089606,0.375453978214933
"laen.coul",-0.00305321993089606,0.375453978214933
"lapp.redo",0.195339474274628,0.0275349613811797
"lepi.lasi",-0.197646978352062,0.0291573401648333
"lesq.gord",0.0516001873243124,0.146665391530993
"lina.bige",0.102197979733959,0.145961576325917
"lina.texa",0.0576910856776923,0.298384005763568
"lupi.conc",-0.13322796978839,0.0878998553456458
"mala.fend",-0.281846067316871,-0.0536452125934531
"micr.lene",-0.229655803253334,-0.113046689122874
"nama.hisp",-0.182878961387307,0.191328533094973
"oeno.prim",0.0159264403279352,0.248046708116894
"pani.hirt",-0.0615300466271249,-0.0404672390294505
"pect.recu",0.00909298809061826,0.276294703201626
"phac.ariz",-0.12889139503386,0.104559240123003
"plan.purs",0.125950876806789,-0.131065241311948
"schi.barb",0.167299993837382,-0.0937828285916688
"sper.echi",-0.192014425293587,-0.0832811503833302
"spha.coul",0.0651371521233696,0.305157781488796
"step.exig",-0.223645223885798,-0.0876435375094864
"vulp.octo",0.0511951733258689,-0.032305914609988
