Island,Archipelago,Ocean,Island.Name,Dendrocygna.arborea,Oxyura.jamaicensis,Aix.sponsa,Melanerpes.radiolatus,Colaptes.auratus,Todus.mexicanus,Chaetura.martinica,Chaetura.cinereiventris,Tachornis.phoenicobia,Apus.alexandri,Trochilus.polytmus,Speotyto.cunicularia,Caprimulgus.cubanensis,Caprimulgus.noctitherus,Caprimulgus.cayennensis,Columba.livia,Columba.palumbus,Columba.squamosa,Columba.caribaea,Geotrygon.mystacea,Cyanolimnas.cerverai,Pardirallus.maculatus,Fulica.atra,Fulica.americana,Fulica.caribaea,Gallinago.gallinago,Jacana.spinosa,Burhinus.bistriatus,Himantopus.mexicanus,Charadrius.vociferus,Charadrius.alexandrinus,Charadrius.collaris,Cursorius.cursor,Sterna.nilotica,Sterna.maxima,Sterna.hirundo,Pandion.haliaetus,Chondrohierax.uncinatus,Rostrhamus.sociabilis,Buteo.ridgwayi,Buteo.jamaicensis,Polyborus.plancus,Falco.tinnunculus,Falco.sparverius,Falco.pelegrinoides,Phaethon.aethereus,Egretta.rufescens,Egretta.garzetta,Ardea.herodias,Butorides.virescens,Pelecanus.occidentalis,Cathartes.aura,Mycteria.americana,Pterodroma.madeira,Pterodroma.feae,Pterodroma.hasitata,Bulweria.bulwerii,Calonectris.diomedea,Puffinus.puffinus,Puffinus.assimilis,Tyrannus.caudifasciatus,Vireo.osburni,Corvus.jamaicensis,Corvus.nasicus,Cichlherminia.lherminieri,Turdus.nudigenis,Turdus.jamaicensis,Turdus.swalesi,Ferminia.cerverai,Progne.cryptoleuca,Progne.dominicensis,Hirundo.fulva,Regulus.regulus,Regulus.teneriffae,Regulus.ignicapillus,Acrocephalus.brevipennis,Phylloscopus.collybita,Sylvia.atricapilla,Sylvia.melanocephala,Sylvia.conspicillata,Eremopterix.nigriceps,Ammomanes.cincturus,Alaemon.alaudipes,Calandrella.rufescens,Alauda.razae,Passer.domesticus,Passer.hispaniolensis,Passer.iagoensis,Passer.montanus,Petronia.petronia,Motacilla.cinerea,Anthus.berthelotii,Fringilla.coelebs,Fringilla.teydea,Serinus.canaria,Carduelis.chloris,Carduelis.dominicensis,Carduelis.cannabina,Rhodopechys.githaginea,Aratinga.labati,Chlorostilbon.elegans,Pterodroma.caribbaea
Tenerife,Canaries,Atlantic,Tenerife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0
Gomera,Canaries,Atlantic,Gomera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
La.Palma,Canaries,Atlantic,La.Palma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
El.Hierro,Canaries,Atlantic,El.Hierro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0
Gran.Canaria,Canaries,Atlantic,Gran.Canaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
Fuerteventura,Canaries,Atlantic,Fuerteventura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
Lanzarote,Canaries,Atlantic,Lanzarote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Graciosa,Canaries,Atlantic,Graciosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Montaña.Clara,Canaries,Atlantic,Montaña.Clara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alegranza,Canaries,Atlantic,Alegranza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
